id,timestamp,team1Name,team2Name,score,referees,linesmen,coachTeam1,coachTeam2,shotsPeriod1Team1,shotsPeriod1Team2,shotsPeriod2Team1,shotsPeriod2Team2,shotsPeriod3Team1,shotsPeriod3Team2,shotsOnGoalPeriod1Team1,shotsOnGoalPeriod1Team2,shotsOnGoalPeriod2Team1,shotsOnGoalPeriod2Team2,shotsOnGoalPeriod3Team1,shotsOnGoalPeriod3Team2,shotsOnGoalOvertimeTeam1,shotsOnGoalOvertimeTeam2,blockedShotsPeriod1Team1,blockedShotsPeriod1Team2,blockedShotsPeriod2Team1,blockedShotsPeriod2Team2,blockedShotsPeriod3Team1,blockedShotsPeriod3Team2,hitsPeriod1Team1,hitsPeriod1Team2,hitsPeriod2Team1,hitsPeriod2Team2,hitsPeriod3Team1,hitsPeriod3Team2,faceoffsWonPeriod1Team1,faceoffsWonPeriod1Team2,faceoffsWonPeriod2Team1,faceoffsWonPeriod2Team2,faceoffsWonPeriod3Team1,faceoffsWonPeriod3Team2,powerplayTimesTeam1,powerplayTimesTeam2,powerplayScoredTimesTeam1,powerplayScoredTimesTeam2,penaltykillTimesTeam1,penaltykillTimesTeam2,penaltykillAgainstTimesTeam1,penaltykillAgainstTimesTeam2,scored5vs5Team1,scored5vs5Team2,against5vs5Team1,against5vs5Team2,url
114,14.09.2015,Амур,Йокерит,2:0 0:3 0:0,"Главные судьи: Алексей Раводин, Александр Соин","Линейные судьи: Дмитрий Парфёнов, Александр Сысуев",Тренер: Сергей Шепелев,Тренер: Эркка Вестерлунд,20.0,9.0,9.0,25.0,14.0,18.0,11,5,5,17,5,12,0.0,0.0,3,4,6,1,3,2,5,7,7,4,4,6,7.0,8.0,6.0,14.0,7.0,8.0,8,7,3,1,7,8,1,3,0,1,1,0,http://www.khl.ru/game/309/46013/protocol/
117,14.09.2015,Трактор,Сибирь,0:0 1:0 0:1 0:1,"Главные судьи: Сергей Беляев, Вячеслав Буланов","Линейные судьи: Глеб Лазарев, Евгений П. Литвинов",Тренер: Андрей Николишин,Тренер: Андрей Скабелка,25.0,20.0,21.0,27.0,17.0,21.0,12,12,10,14,8,16,1,1,5,6,6,4,5,4,6,3,4,4,4,2,12.0,8.0,8.0,14.0,13.0,7.0,2,1,0,0,1,2,0,0,1,1,1,1,http://www.khl.ru/game/309/46015/protocol/
118,14.09.2015,Нефтехимик,Металлург Нк,0:0 0:0 1:0,"Главные судьи: Сергей Кулаков, Евгений Гамалей","Линейные судьи: Роман Шиханов, Дмитрий Головлёв",Тренер: Владимир Крикунов,Тренер: Николай Соловьёв,19.0,18.0,24.0,15.0,20.0,19.0,12,9,12,9,11,7,0.0,0.0,5,3,4,5,4,6,12,1,9,3,2,7,6.0,9.0,13.0,15.0,8.0,6.0,3,3,0,0,3,3,0,0,1,0,0,1,http://www.khl.ru/game/309/46017/protocol/
115,14.09.2015,Адмирал,Динамо Р,0:1 1:1 1:2,"Главные судьи: Алексей Васильев, Денис Наумов","Линейные судьи: Степан Коршак, Александр Чернышёв",Тренер: Александр Андриевский,Тренер: Кари Хейккиля,23.0,11.0,29.0,8.0,22.0,8.0,12,7,18,4,12,6,0.0,0.0,4,5,2,3,3,4,8,2,6,4,6,2,6.0,11.0,15.0,15.0,14.0,11.0,3,8,2,2,8,3,2,2,1,0,0,1,http://www.khl.ru/game/309/46014/protocol/
120,14.09.2015,Спартак,Динамо Мн,0:1 0:3 1:0,"Главные судьи: Денис Бондарь, Сергей Гусев","Линейные судьи: Александр Отмахов, Станислав Раминг",Тренер: Герман Титов,Тренер: Любомир Покович,15.0,14.0,16.0,14.0,19.0,12.0,7,8,11,10,13,8,0.0,0.0,2,2,0,2,0,2,9,6,4,5,6,3,8.0,10.0,11.0,11.0,4.0,12.0,4,6,1,1,6,4,1,1,3,0,0,3,http://www.khl.ru/game/309/46018/protocol/
109,12.09.2015,Витязь,Слован,0:1 0:3 2:1,"Главные судьи: Эдуард Одиньш, Вячеслав Буланов","Линейные судьи: Константин Горденко, Виктор Томилов",Тренер: Олег Ореховский,Тренер: Милош Ржига,12.0,29.0,12.0,22.0,25.0,7.0,10,15,6,13,15,5,0.0,0.0,9,1,5,3,1,6,2,2,4,4,5,11,9.0,12.0,15.0,7.0,11.0,13.0,3,4,1,1,4,3,1,1,4,1,1,4,http://www.khl.ru/game/309/46008/protocol/
105,12.09.2015,Амур,Динамо Р,3:0 0:2 0:0,"Главные судьи: Денис Бондарь, Александр Сергеев","Линейные судьи: Дмитрий Парфёнов, Александр Сысуев",Тренер: Сергей Шепелев,Тренер: Кари Хейккиля,25.0,17.0,11.0,15.0,5.0,11.0,13,9,6,9,4,8,0.0,0.0,7,7,4,3,1,1,8,9,5,11,8,6,9.0,7.0,9.0,9.0,8.0,9.0,6,3,2,0,3,6,0,2,1,2,2,1,http://www.khl.ru/game/309/46004/protocol/
106,12.09.2015,Адмирал,Йокерит,0:2 0:1 1:3,"Главные судьи: Алексей Белов, Денис Наумов","Линейные судьи: Степан Коршак, Александр Чернышёв",Тренер: Александр Андриевский,Тренер: Эркка Вестерлунд,15.0,25.0,14.0,15.0,16.0,22.0,8,16,6,10,8,14,0.0,0.0,4,1,1,3,4,1,8,9,6,2,5,2,12.0,10.0,5.0,15.0,12.0,14.0,3,4,1,1,4,3,1,1,4,0,0,4,http://www.khl.ru/game/309/46005/protocol/
107,12.09.2015,Авангард,Локомотив,1:0 0:0 2:0,"Главные судьи: Антти Боман, Алексей Раводин","Линейные судьи: Андрей Матюша, Иван Сазонов",Тренер: Евгений Корноухов,Тренер: Алексей Кудашов,19.0,12.0,11.0,28.0,14.0,18.0,8,7,9,15,7,5,0.0,0.0,1,7,6,1,5,3,11,9,6,7,2,2,10.0,3.0,12.0,7.0,15.0,9.0,5,5,1,0,5,5,0,1,2,0,0,2,http://www.khl.ru/game/309/46006/protocol/
108,12.09.2015,Барыс,ХК Сочи,0:1 2:1 0:0 1:0,"Главные судьи: Владимир Букин, Андрей Рогачёв","Линейные судьи: Дмитрий Сивов, Сергей Шелянин",Тренер: Ерлан Сагымбаев,Тренер: Вячеслав Буцаев,14.0,16.0,34.0,13.0,5.0,14.0,8,8,24,6,2,9,1,0,4,3,4,5,0,3,3,3,4,4,3,2,12.0,9.0,15.0,10.0,11.0,7.0,4,1,2,0,1,4,0,2,1,2,2,1,http://www.khl.ru/game/309/46007/protocol/
112,13.09.2015,Ак Барс,Салават Юлаев,0:2 2:0 1:1 0:0 0:1,"Главные судьи: Алексей Анисимов, Эдуард Одиньш","Линейные судьи: Александр Захаренков, Александр Садовников",Тренер: Зинэтула Билялетдинов,Тренер: Анатолий Емелин,12.0,19.0,20.0,7.0,11.0,22.0,6,8,13,2,6,15,2,5,3,4,3,4,5,1,6,8,13,10,3,4,8.0,11.0,10.0,8.0,11.0,15.0,4,3,1,0,3,4,0,1,1,3,3,1,http://www.khl.ru/game/309/46012/protocol/
111,13.09.2015,Северсталь,Металлург Мг,0:2 2:2 1:0,"Главные судьи: Михаил Бутурлин, Владислав Киселёв","Линейные судьи: Александр Отмахов, Станислав Раминг",Тренер: Вацлав Сикора,Тренер: Майк Кинэн,14.0,20.0,28.0,17.0,12.0,18.0,8,13,16,11,7,9,0.0,0.0,4,0,5,9,5,3,3,7,6,4,4,4,9.0,12.0,13.0,11.0,9.0,11.0,1,3,0,0,3,1,0,0,4,3,3,4,http://www.khl.ru/game/309/46010/protocol/
110,13.09.2015,Лада,Югра,0:0 0:2 1:0,"Главные судьи: Яков Деев, Артур Кулёв","Линейные судьи: Яков Палей, Антон Понамаренко",Тренер: Сергей Светлов,Тренер: Павел Езовских,21.0,17.0,11.0,22.0,13.0,14.0,8,10,6,11,9,5,0.0,0.0,2,7,2,3,3,2,6,13,6,9,6,8,10.0,11.0,10.0,10.0,7.0,12.0,4,3,0,0,3,4,0,0,2,1,1,2,http://www.khl.ru/game/309/46009/protocol/
97,10.09.2015,Сибирь,Динамо Р,1:0 1:0 2:1,"Главные судьи: Владислав Киселёв, Андрей Рогачёв","Линейные судьи: Эдуард Метальников, Александр Сироткин",Тренер: Андрей Скабелка,Тренер: Кари Хейккиля,27.0,30.0,15.0,15.0,24.0,13.0,16,14,9,11,13,7,0.0,0.0,8,2,3,3,5,4,5,3,0,6,0,2,8.0,14.0,6.0,8.0,10.0,7.0,4,5,0,0,5,4,0,0,4,1,1,4,http://www.khl.ru/game/309/45996/protocol/
104,11.09.2015,ЦСКА,Металлург Мг,1:0 0:2 0:1,"Главные судьи: Роман Гофман, Сергей Гусев","Линейные судьи: Юрий Иванов, Глеб Лазарев",Тренер: Дмитрий Квартальнов,Тренер: Майк Кинэн,26.0,14.0,21.0,24.0,21.0,8.0,12,6,12,15,10,4,0.0,0.0,5,7,6,3,1,7,14,16,5,14,11,11,10.0,7.0,13.0,12.0,8.0,7.0,7,5,3,1,5,7,1,3,0,0,0,0,http://www.khl.ru/game/309/46003/protocol/
99,10.09.2015,Витязь,Медвешчак,0:1 2:1 1:1 0:0 1:0,"Главные судьи: Роман Гофман, Сергей Гусев","Линейные судьи: Дмитрий Головлёв, Глеб Лазарев",Тренер: Олег Ореховский,Тренер: Горди Дуайер,14.0,21.0,20.0,15.0,16.0,15.0,5,10,13,10,7,8,0,3,5,3,4,3,2,4,1,5,3,8,2,6,6.0,10.0,14.0,7.0,10.0,15.0,7,9,2,2,9,7,2,2,1,1,1,1,http://www.khl.ru/game/309/46000/protocol/
103,11.09.2015,Северсталь,Салават Юлаев,1:1 0:1 0:0,"Главные судьи: Сергей Кулаков, Константин Оленин","Линейные судьи: Торнике Кучава, Иван Назаров",Тренер: Вацлав Сикора,Тренер: Анатолий Емелин,12.0,17.0,20.0,16.0,20.0,12.0,6,3,8,4,11,8,0.0,0.0,6,3,3,6,2,6,4,3,3,4,3,3,8.0,8.0,6.0,11.0,9.0,12.0,4,5,0,0,5,4,0,0,2,0,0,2,http://www.khl.ru/game/309/46002/protocol/
101,10.09.2015,Динамо Мск,Слован,0:1 1:1 0:0,"Главные судьи: Алексей Анисимов, Эдуард Одиньш","Линейные судьи: Пётр Алёшин, Юрий Иванов",Тренер: Харийс Витолиньш,Тренер: Милош Ржига,13.0,27.0,29.0,16.0,18.0,12.0,5,16,15,7,7,6,0.0,0.0,4,4,5,5,2,5,5,6,5,4,4,3,8.0,12.0,11.0,8.0,5.0,8.0,3,4,1,0,4,3,0,1,1,1,1,1,http://www.khl.ru/game/309/45999/protocol/
102,10.09.2015,Торпедо,Трактор,0:0 2:0 1:0,"Главные судьи: Рафаэль Кадыров, Александр Соин","Линейные судьи: Алексей Майтак, Евгений Пронских",Тренер: Петерис Скудра,Тренер: Андрей Николишин,14.0,16.0,11.0,11.0,10.0,11.0,8,7,7,7,8,7,0.0,0.0,3,4,1,1,3,0,9,8,3,8,1,3,17.0,8.0,12.0,6.0,11.0,3.0,7,3,0,0,3,7,0,0,3,0,0,3,http://www.khl.ru/game/309/46001/protocol/
98,10.09.2015,Югра,Локомотив,1:1 1:0 0:0,"Главные судьи: Павел Комаров, Ильдар Сафиуллов","Линейные судьи: Александр Отмахов, Станислав Раминг",Тренер: Павел Езовских,Тренер: Алексей Кудашов,14.0,17.0,17.0,15.0,6.0,42.0,7,10,9,8,0,19,0.0,0.0,3,5,5,6,10,1,5,0,3,4,2,3,6.0,10.0,11.0,10.0,4.0,10.0,4,3,1,0,3,4,0,1,1,1,1,1,http://www.khl.ru/game/309/45997/protocol/
100,10.09.2015,Динамо Мн,Нефтехимик,0:0 1:2 1:0 0:0 0:1,"Главные судьи: Алексей Раводин, Роман Щенёв","Линейные судьи: Алексей Михель, Евгений Стрельцов",Тренер: Любомир Покович,Тренер: Владимир Крикунов,19.0,12.0,23.0,17.0,22.0,15.0,9,7,19,11,15,9,4,2,2,5,4,3,0,5,10,9,1,4,5,11,8.0,9.0,7.0,10.0,7.0,13.0,2,6,2,0,6,2,0,2,0,2,2,0,http://www.khl.ru/game/309/45998/protocol/
89,08.09.2015,Торпедо,Нефтехимик,0:0 0:1 1:0 0:1,"Главные судьи: Антти Боман, Вячеслав Буланов","Линейные судьи: Пётр Алёшин, Александр Нестеров",Тренер: Петерис Скудра,Тренер: Владимир Крикунов,22.0,11.0,10.0,14.0,13.0,2.0,12,6,7,5,8,1,0,1,2,2,4,1,1,1,7,10,5,10,5,5,7.0,16.0,13.0,7.0,12.0,12.0,1,6,0,0,6,1,0,0,1,1,1,1,http://www.khl.ru/game/309/45988/protocol/
92,10.09.2015,Адмирал,СКА,1:0 0:3 0:2,"Главные судьи: Денис Бондарь, Алексей Белов","Линейные судьи: Константин Горденко, Виктор Томилов",Тренер: Александр Андриевский,Тренер: Андрей Назаров,17.0,12.0,17.0,20.0,16.0,20.0,9,5,8,12,6,15,0.0,0.0,1,2,3,2,4,5,5,5,2,5,5,2,10.0,15.0,14.0,9.0,11.0,13.0,6,5,2,0,5,6,0,2,3,1,1,3,http://www.khl.ru/game/309/45991/protocol/
91,10.09.2015,Амур,Спартак,0:2 1:0 0:0,"Главные судьи: Михаил Бутурлин, Денис Наумов","Линейные судьи: Степан Коршак, Александр Чернышёв",Тренер: Сергей Шепелев,Тренер: Герман Титов,14.0,9.0,14.0,7.0,17.0,12.0,5,7,9,4,11,8,0.0,0.0,1,4,0,5,1,4,5,7,4,11,2,2,10.0,7.0,11.0,4.0,7.0,8.0,8,2,1,0,2,8,0,1,2,0,0,2,http://www.khl.ru/game/309/45990/protocol/
90,09.09.2015,ЦСКА,Салават Юлаев,1:0 1:2 3:0,"Главные судьи: Антти Боман, Вячеслав Буланов","Линейные судьи: Дмитрий Голяк, Иван Дедюля",Тренер: Дмитрий Квартальнов,Тренер: Анатолий Емелин,22.0,13.0,16.0,16.0,19.0,12.0,10,6,9,7,13,6,0.0,0.0,6,6,7,5,3,1,10,13,6,12,6,13,9.0,7.0,12.0,8.0,14.0,3.0,5,3,2,1,3,5,1,2,3,0,0,3,http://www.khl.ru/game/309/45989/protocol/
96,10.09.2015,Барыс,Ак Барс,1:1 1:0 1:0,"Главные судьи: Владимир Букин, Алексей Васильев","Линейные судьи: Дмитрий Сивов, Сергей Шелянин",Тренер: Ерлан Сагымбаев,Тренер: Зинэтула Билялетдинов,12.0,15.0,19.0,15.0,16.0,11.0,7,9,13,6,10,5,0.0,0.0,3,2,2,2,3,4,5,3,2,4,2,5,15.0,6.0,11.0,9.0,14.0,4.0,1,4,1,1,4,1,1,1,2,0,0,2,http://www.khl.ru/game/309/45995/protocol/
95,10.09.2015,Автомобилист,ХК Сочи,1:2 0:0 0:2,"Главные судьи: Сергей Беляев, Яков Деев","Линейные судьи: Дмитрий Парфёнов, Александр Сысуев",Тренер: Андрей Разин,Тренер: Вячеслав Буцаев,6.0,16.0,19.0,21.0,9.0,13.0,4,11,10,13,4,9,0.0,0.0,3,2,2,3,1,3,6,5,6,5,1,7,11.0,7.0,18.0,9.0,9.0,10.0,5,5,2,0,5,5,0,2,2,1,1,2,http://www.khl.ru/game/309/45994/protocol/
94,10.09.2015,Авангард,Лада,1:0 5:0 0:1,"Главные судьи: Евгений Гамалей, Виктор Гашилов","Линейные судьи: Максим Берсенёв, Евгений Юдин",Тренер: Евгений Корноухов,Тренер: Сергей Светлов,17.0,15.0,24.0,12.0,15.0,14.0,10,9,20,4,7,8,0.0,0.0,4,4,5,3,5,5,3,1,7,2,3,0,8.0,7.0,13.0,8.0,9.0,10.0,5,5,1,0,5,5,0,1,5,0,0,5,http://www.khl.ru/game/309/45993/protocol/
93,10.09.2015,Металлург Нк,Йокерит,0:2 1:0 1:1,"Главные судьи: Александр Сергеев, Юрий Цыплаков","Линейные судьи: Андрей Матюша, Александр Нестеров",Тренер: Николай Соловьёв,Тренер: Эркка Вестерлунд,19.0,19.0,21.0,26.0,23.0,11.0,12,13,10,17,7,5,0.0,0.0,3,4,2,6,1,6,8,5,3,4,2,3,9.0,9.0,10.0,14.0,11.0,10.0,5,7,1,0,7,5,0,1,2,2,2,2,http://www.khl.ru/game/309/45992/protocol/
86,08.09.2015,Югра,ХК Сочи,1:1 0:1 2:0,"Главные судьи: Павел Комаров, Роман Щенёв","Линейные судьи: Александр Отмахов, Станислав Раминг",Тренер: Павел Езовских,Тренер: Вячеслав Буцаев,6.0,15.0,13.0,15.0,9.0,19.0,5,10,7,8,6,11,0.0,0.0,1,1,2,4,3,1,5,7,7,6,4,2,6.0,13.0,8.0,10.0,8.0,7.0,4,4,1,1,4,4,1,1,2,1,1,2,http://www.khl.ru/game/309/45985/protocol/
87,08.09.2015,Динамо Мн,Трактор,1:0 2:0 1:0,"Главные судьи: Роман Гофман, Сергей Кулаков","Линейные судьи: Дмитрий Головлёв, Роман Шиханов",Тренер: Любомир Покович,Тренер: Андрей Николишин,16.0,12.0,21.0,17.0,11.0,23.0,8,2,11,9,8,13,0.0,0.0,3,1,2,5,3,0,3,5,2,4,1,7,13.0,4.0,11.0,8.0,13.0,11.0,3,3,1,0,3,3,0,1,3,0,0,3,http://www.khl.ru/game/309/45986/protocol/
84,08.09.2015,Барыс,Лада,0:0 0:5 0:1,"Главные судьи: Сергей Беляев, Алексей Васильев","Линейные судьи: Алексей Майтак, Евгений Пронских",Тренер: Ерлан Сагымбаев,Тренер: Сергей Светлов,21.0,17.0,14.0,22.0,15.0,7.0,13,10,10,13,12,3,0.0,0.0,5,4,4,2,0,1,3,2,1,1,7,1,13.0,5.0,11.0,10.0,10.0,11.0,5,6,0,0,6,5,0,0,6,0,0,6,http://www.khl.ru/game/309/45982/protocol/
81,08.09.2015,Металлург Нк,Динамо Р,1:1 0:0 0:3,"Главные судьи: Эдуард Ибатулин, Александр Сергеев","Линейные судьи: Сергей Мисюрь, Яков Палей",Тренер: Николай Соловьёв,Тренер: Кари Хейккиля,15.0,16.0,10.0,21.0,27.0,11.0,10,8,4,11,18,9,0.0,0.0,4,5,4,7,3,6,4,9,5,3,6,7,10.0,10.0,7.0,11.0,15.0,5.0,4,4,2,0,4,4,0,2,2,1,1,2,http://www.khl.ru/game/309/45980/protocol/
88,08.09.2015,Динамо Мск,Медвешчак,2:0 0:0 0:1,"Главные судьи: Денис Наумов, Алексей Раводин","Линейные судьи: Дмитрий Голяк, Иван Дедюля",Тренер: Харийс Витолиньш,Тренер: Горди Дуайер,16.0,9.0,16.0,29.0,9.0,32.0,11,3,7,18,6,13,0.0,0.0,5,2,8,2,16,1,6,5,1,8,6,2,8.0,8.0,10.0,13.0,7.0,13.0,5,7,1,1,7,5,1,1,1,0,0,1,http://www.khl.ru/game/309/45987/protocol/
83,08.09.2015,Автомобилист,Локомотив,0:2 0:0 2:0 0:1,"Главные судьи: Сергей Гусев, Александр Соин","Линейные судьи: Глеб Лазарев, Евгений П. Литвинов",Тренер: Андрей Разин,Тренер: Алексей Кудашов,9.0,15.0,11.0,18.0,19.0,8.0,6,7,9,9,8,4,0,1,3,2,5,1,1,4,7,8,5,4,6,4,9.0,4.0,10.0,14.0,9.0,5.0,4,6,0,0,6,4,0,0,2,2,2,2,http://www.khl.ru/game/309/45981/protocol/
85,08.09.2015,Сибирь,Йокерит,0:0 0:2 0:0,"Главные судьи: Михаил Бутурлин, Виктор Гашилов","Линейные судьи: Александр Захаренков, Александр Садовников",Тренер: Андрей Скабелка,Тренер: Эркка Вестерлунд,24.0,16.0,15.0,25.0,8.0,17.0,11,6,7,19,4,13,0.0,0.0,5,4,1,3,4,6,7,7,4,2,2,3,6.0,8.0,5.0,13.0,6.0,7.0,4,2,1,0,2,4,0,1,1,0,0,1,http://www.khl.ru/game/309/45983/protocol/
82,08.09.2015,Авангард,Ак Барс,0:0 0:1 2:1 0:0 0:1,"Главные судьи: Константин Оленин, Юрий Оскирко","Линейные судьи: Дмитрий Парфёнов, Александр Сысуев",Тренер: Евгений Корноухов,Тренер: Зинэтула Билялетдинов,17.0,11.0,18.0,19.0,21.0,15.0,8,6,10,11,11,9,2,3,3,7,4,6,3,6,10,8,4,3,1,3,6.0,4.0,10.0,10.0,9.0,9.0,4,1,1,0,1,4,0,1,2,1,1,2,http://www.khl.ru/game/309/45984/protocol/
73,06.09.2015,Сибирь,Спартак,2:1 0:0 0:0,"Главные судьи: Антонин Йерабек, Рафаэль Кадыров","Линейные судьи: Сергей Мисюрь, Яков Палей",Тренер: Андрей Скабелка,Тренер: Герман Титов,21.0,15.0,10.0,29.0,13.0,29.0,18,8,3,17,8,13,0.0,0.0,1,3,7,4,7,1,4,6,1,7,1,5,10.0,15.0,6.0,9.0,11.0,17.0,7,2,1,0,2,7,0,1,2,0,0,2,http://www.khl.ru/game/309/45972/protocol/
78,06.09.2015,ЦСКА,Трактор,0:0 2:0 1:0,"Главные судьи: Денис Наумов, Алексей Раводин","Линейные судьи: Алексей Михель, Евгений Стрельцов",Тренер: Дмитрий Квартальнов,Тренер: Андрей Николишин,30.0,11.0,22.0,14.0,24.0,10.0,14,7,13,4,11,4,0.0,0.0,3,8,3,6,2,4,5,5,4,5,2,2,11.0,12.0,15.0,10.0,12.0,11.0,8,8,2,0,8,8,0,2,0,0,0,0,http://www.khl.ru/game/309/45976/protocol/
76,06.09.2015,Слован,Медвешчак,0:1 0:0 3:1,"Главные судьи: Роман Гофман, Александр Соин","Линейные судьи: Дмитрий Голяк, Иван Дедюля",Тренер: Милош Ржига,Тренер: Горди Дуайер,13.0,18.0,26.0,14.0,19.0,10.0,8,9,16,6,15,5,0.0,0.0,6,4,5,3,5,0,1,1,2,2,1,0,5.0,12.0,9.0,7.0,12.0,7.0,6,6,1,1,6,6,1,1,1,1,1,1,http://www.khl.ru/game/309/45975/protocol/
77,06.09.2015,Торпедо,Витязь,0:0 1:0 0:0,"Главные судьи: Яков Деев, Ильдар Сафиуллов","Линейные судьи: Константин Горденко, Виктор Томилов",Тренер: Петерис Скудра,Тренер: Олег Ореховский,14.0,17.0,18.0,17.0,17.0,22.0,7,9,10,10,8,9,0.0,0.0,5,4,2,4,5,4,6,8,5,9,5,5,10.0,10.0,14.0,12.0,11.0,8.0,4,3,0,0,3,4,0,0,1,0,0,1,http://www.khl.ru/game/309/45977/protocol/
75,06.09.2015,Северсталь,Нефтехимик,0:2 1:1 0:1,"Главные судьи: Антти Боман, Максим Сидоренко","Линейные судьи: Иван Сазонов, Роман Шиханов",Тренер: Вацлав Сикора,Тренер: Владимир Крикунов,17.0,16.0,23.0,16.0,20.0,21.0,8,7,13,9,14,10,0.0,0.0,5,2,4,6,7,1,6,5,4,6,2,3,8.0,11.0,9.0,16.0,9.0,16.0,2,5,1,0,5,2,0,1,3,1,1,3,http://www.khl.ru/game/309/45974/protocol/
79,08.09.2015,Амур,СКА,0:0 0:2 0:1,"Главные судьи: Алексей Анисимов, Антонин Йерабек","Линейные судьи: Эдуард Метальников, Александр Сироткин",Тренер: Сергей Шепелев,Тренер: Андрей Назаров,18.0,12.0,16.0,18.0,14.0,15.0,11,9,12,12,9,9,0.0,0.0,2,2,5,4,2,2,5,7,5,6,4,3,11.0,11.0,12.0,10.0,8.0,12.0,3,5,0,0,5,3,0,0,3,0,0,3,http://www.khl.ru/game/309/45978/protocol/
80,08.09.2015,Адмирал,Спартак,1:1 1:0 2:0,"Главные судьи: Денис Бондарь, Андрей Рогачёв","Линейные судьи: Константин Горденко, Виктор Томилов",Тренер: Александр Андриевский,Тренер: Герман Титов,28.0,9.0,7.0,21.0,14.0,15.0,18,5,4,10,10,7,0.0,0.0,0,5,5,1,1,1,5,1,5,4,4,4,12.0,14.0,10.0,11.0,9.0,13.0,5,3,1,0,3,5,0,1,3,1,1,3,http://www.khl.ru/game/309/45979/protocol/
74,06.09.2015,Югра,Ак Барс,0:1 1:1 1:1,"Главные судьи: Владимир Букин, Роман Щенёв","Линейные судьи: Торнике Кучава, Никита Новиков",Тренер: Павел Езовских,Тренер: Зинэтула Билялетдинов,6.0,21.0,12.0,17.0,8.0,18.0,2,12,10,10,6,12,0.0,0.0,3,2,5,4,2,1,3,5,11,2,2,1,2.0,16.0,10.0,16.0,8.0,13.0,4,3,3,1,3,4,1,3,0,1,1,0,http://www.khl.ru/game/309/45973/protocol/
72,06.09.2015,Барыс,Локомотив,2:2 2:0 0:1,"Главные судьи: Сергей Беляев, Константин Оленин","Линейные судьи: Алексей Майтак, Евгений Пронских",Тренер: Ерлан Сагымбаев,Тренер: Алексей Кудашов,13.0,20.0,14.0,26.0,9.0,19.0,8,13,12,21,7,14,0.0,0.0,1,4,2,0,3,1,4,0,3,1,4,2,13.0,8.0,14.0,13.0,17.0,9.0,6,5,1,0,5,6,0,1,3,2,2,3,http://www.khl.ru/game/309/45971/protocol/
65,04.09.2015,Северсталь,Трактор,0:0 0:1 0:2,"Главные судьи: Денис Бондарь, Юрий Цыплаков","Линейные судьи: Пётр Алёшин, Никита Шалагин",Тренер: Вацлав Сикора,Тренер: Андрей Николишин,14.0,16.0,20.0,14.0,14.0,21.0,7,7,13,8,9,11,0.0,0.0,9,4,3,4,3,3,5,5,0,4,2,3,10.0,12.0,11.0,7.0,5.0,9.0,6,3,1,0,3,6,0,1,1,0,0,1,http://www.khl.ru/game/309/45964/protocol/
66,04.09.2015,Динамо Мск,Витязь,1:0 1:3 0:0,"Главные судьи: Александр Сергеев, Максим Сидоренко","Линейные судьи: Иван Сазонов, Дмитрий Шишло",Тренер: Харийс Витолиньш,Тренер: Олег Ореховский,17.0,17.0,26.0,14.0,19.0,10.0,5,5,12,9,8,4,0.0,0.0,7,7,2,5,4,7,6,3,3,4,6,1,8.0,10.0,7.0,11.0,9.0,10.0,3,2,1,0,2,3,0,1,2,1,1,2,http://www.khl.ru/game/309/45965/protocol/
69,05.09.2015,Металлург Мг,Авангард,0:1 1:1 1:0 0:0 1:0,"Главные судьи: Вячеслав Буланов, Сергей Гусев","Линейные судьи: Дмитрий Головлёв, Сергей Шелянин",Тренер: Майк Кинэн,Тренер: Евгений Корноухов,18.0,12.0,21.0,13.0,25.0,15.0,10,6,13,8,15,7,4,1,3,4,1,8,3,4,12,10,7,9,8,10,9.0,8.0,9.0,8.0,8.0,8.0,2,3,1,1,3,2,1,1,1,1,1,1,http://www.khl.ru/game/309/45968/protocol/
67,04.09.2015,ЦСКА,Нефтехимик,2:0 0:0 2:1,"Главные судьи: Антонин Йерабек, Павел Комаров","Линейные судьи: Дмитрий Голяк, Иван Дедюля",Тренер: Дмитрий Квартальнов,Тренер: Владимир Крикунов,23.0,14.0,16.0,12.0,21.0,6.0,14,6,11,5,13,5,0.0,0.0,4,5,2,2,0,2,11,16,6,10,1,8,13.0,13.0,12.0,13.0,12.0,9.0,6,4,2,0,4,6,0,2,1,1,1,1,http://www.khl.ru/game/309/45966/protocol/
