id,timestamp,team1Name,team2Name,score,referees,linesmen,coachTeam1,coachTeam2,shotsPeriod1Team1,shotsPeriod1Team2,shotsPeriod2Team1,shotsPeriod2Team2,shotsPeriod3Team1,shotsPeriod3Team2,shotsOnGoalPeriod1Team1,shotsOnGoalPeriod1Team2,shotsOnGoalPeriod2Team1,shotsOnGoalPeriod2Team2,shotsOnGoalPeriod3Team1,shotsOnGoalPeriod3Team2,shotsOnGoalOvertimeTeam1,shotsOnGoalOvertimeTeam2,blockedShotsPeriod1Team1,blockedShotsPeriod1Team2,blockedShotsPeriod2Team1,blockedShotsPeriod2Team2,blockedShotsPeriod3Team1,blockedShotsPeriod3Team2,hitsPeriod1Team1,hitsPeriod1Team2,hitsPeriod2Team1,hitsPeriod2Team2,hitsPeriod3Team1,hitsPeriod3Team2,faceoffsWonPeriod1Team1,faceoffsWonPeriod1Team2,faceoffsWonPeriod2Team1,faceoffsWonPeriod2Team2,faceoffsWonPeriod3Team1,faceoffsWonPeriod3Team2,powerplayTimesTeam1,powerplayTimesTeam2,powerplayScoredTimesTeam1,powerplayScoredTimesTeam2,penaltykillTimesTeam1,penaltykillTimesTeam2,penaltykillAgainstTimesTeam1,penaltykillAgainstTimesTeam2,scored5vs5Team1,scored5vs5Team2,against5vs5Team1,against5vs5Team2,url
70,06.09.2015,Металлург Нк,СКА,2:1 1:0 1:2,"Главные судьи: Михаил Бутурлин, Виктор Гашилов","Линейные судьи: Александр Захаренков, Александр Садовников",Тренер: Николай Соловьёв,Тренер: Андрей Назаров,18.0,19.0,25.0,25.0,20.0,28.0,12,5,12,11,12,19,0.0,0.0,4,2,6,7,5,4,3,5,6,6,7,6,7.0,10.0,8.0,12.0,16.0,14.0,4,3,2,1,3,4,1,2,2,2,2,2,http://www.khl.ru/game/309/45969/protocol/
71,06.09.2015,Автомобилист,Лада,1:0 1:1 2:0,"Главные судьи: Владислав Киселёв, Эдуард Ибатулин","Линейные судьи: Никита Вилюгин, Антон Понамаренко",Тренер: Андрей Разин,Тренер: Сергей Светлов,17.0,10.0,31.0,7.0,13.0,10.0,9,5,16,3,8,5,0.0,0.0,2,2,3,7,3,2,5,6,6,4,9,4,7.0,10.0,17.0,9.0,9.0,11.0,4,1,1,0,1,4,0,1,3,1,1,3,http://www.khl.ru/game/309/45970/protocol/
68,05.09.2015,Амур,Адмирал,2:1 0:2 0:1,"Главные судьи: Алексей Анисимов, Сергей Кулаков","Линейные судьи: Эдуард Метальников, Александр Сироткин",Тренер: Сергей Шепелев,Тренер: Александр Андриевский,18.0,15.0,10.0,16.0,20.0,10.0,11,10,3,11,11,5,0.0,0.0,1,2,1,3,3,2,3,5,4,4,5,3,9.0,12.0,9.0,10.0,10.0,6.0,1,4,0,0,4,1,0,0,4,2,2,4,http://www.khl.ru/game/309/45967/protocol/
59,03.09.2015,Локомотив,ХК Сочи,2:0 1:0 0:0,"Главные судьи: Эдуард Одиньш, Сергей Гусев","Линейные судьи: Александр Сысуев, Дмитрий Парфёнов",Тренер: Алексей Кудашов,Тренер: Вячеслав Буцаев,17.0,19.0,24.0,17.0,11.0,18.0,11,12,12,8,8,9,0.0,0.0,3,4,4,4,6,1,8,6,3,3,3,3,14.0,3.0,9.0,6.0,12.0,8.0,4,4,1,0,4,4,0,1,2,0,0,2,http://www.khl.ru/game/309/45958/protocol/
58,03.09.2015,Салават Юлаев,Авангард,0:2 2:0 0:1,"Главные судьи: Роман Гофман, Антонин Йерабек","Линейные судьи: Александр Отмахов, Станислав Раминг",Тренер: Анатолий Емелин,Тренер: Евгений Корноухов,9.0,20.0,28.0,21.0,20.0,8.0,5,12,14,8,12,3,0.0,0.0,4,3,4,5,4,3,8,5,5,4,3,5,11.0,11.0,5.0,9.0,11.0,7.0,3,7,1,1,7,3,1,1,2,1,1,2,http://www.khl.ru/game/309/45957/protocol/
63,04.09.2015,Сибирь,СКА,2:1 1:0 2:1,"Главные судьи: Михаил Бутурлин, Константин Оленин","Линейные судьи: Сергей Мисюрь, Яков Палей",Тренер: Андрей Скабелка,Тренер: Андрей Назаров,25.0,17.0,14.0,30.0,8.0,36.0,16,6,6,14,6,22,0.0,0.0,8,8,5,4,5,0,1,6,1,6,4,4,10.0,12.0,12.0,12.0,14.0,19.0,4,6,2,0,6,4,0,2,3,2,2,3,http://www.khl.ru/game/309/45962/protocol/
60,03.09.2015,Медвешчак,Динамо Р,0:0 1:0 0:1 1:0,"Главные судьи: Сергей Кулаков, Денис Наумов","Линейные судьи: Александр Захаренков, Александр Садовников",Тренер: Горди Дуайер,Тренер: Кари Хейккиля,6.0,18.0,16.0,21.0,18.0,19.0,4,7,8,6,11,8,2,1,3,2,7,1,3,2,4,6,1,5,6,3,10.0,2.0,12.0,7.0,4.0,6.0,3,5,2,0,5,3,0,2,0,1,1,0,http://www.khl.ru/game/309/45959/protocol/
57,03.09.2015,Металлург Мг,Барыс,0:2 2:0 0:0 0:0 1:0,"Главные судьи: Алексей Анисимов, Антти Боман","Линейные судьи: Глеб Лазарев, Роман Шиханов",Тренер: Майк Кинэн,Тренер: Ерлан Сагымбаев,19.0,20.0,21.0,10.0,23.0,20.0,10,10,17,5,15,8,4,2,3,1,3,4,5,3,9,3,8,3,5,2,13.0,11.0,14.0,7.0,9.0,14.0,5,4,1,0,4,5,0,1,1,2,2,1,http://www.khl.ru/game/309/45956/protocol/
64,04.09.2015,Югра,Лада,0:1 2:1 0:0 1:0,"Главные судьи: Владимир Букин, Александр Соин","Линейные судьи: Торнике Кучава, Никита Новиков",Тренер: Павел Езовских,Тренер: Сергей Светлов,16.0,18.0,15.0,20.0,18.0,12.0,5,11,8,15,10,7,2,1,3,4,2,1,1,3,6,11,13,9,1,0,5.0,7.0,12.0,11.0,11.0,7.0,2,2,1,0,2,2,0,1,2,1,1,2,http://www.khl.ru/game/309/45963/protocol/
61,04.09.2015,Металлург Нк,Спартак,1:1 0:0 1:0,"Главные судьи: Виктор Гашилов, Ильдар Сафиуллов","Линейные судьи: Никита Вилюгин, Андрей Матюша",Тренер: Николай Соловьёв,Тренер: Герман Титов,14.0,13.0,21.0,21.0,20.0,29.0,7,9,11,9,11,16,0.0,0.0,3,2,6,3,7,3,8,7,3,6,6,5,8.0,8.0,10.0,11.0,11.0,9.0,2,4,0,0,4,2,0,0,2,1,1,2,http://www.khl.ru/game/309/45960/protocol/
62,04.09.2015,Автомобилист,Ак Барс,2:1 3:0 0:2,"Главные судьи: Алексей Раводин, Алексей Васильев","Линейные судьи: Максим Берсенёв, Евгений Юдин",Тренер: Андрей Разин,Тренер: Зинэтула Билялетдинов,14.0,13.0,18.0,17.0,7.0,27.0,9,9,10,11,6,13,0.0,0.0,2,1,4,2,5,0,6,12,3,9,5,7,9.0,11.0,13.0,15.0,7.0,13.0,4,4,1,1,4,4,1,1,4,2,2,4,http://www.khl.ru/game/309/45961/protocol/
54,01.09.2015,Медвешчак,Металлург Нк,2:1 0:1 1:1 0:0 1:0,"Главные судьи: Сергей Кулаков, Андрей Рогачёв","Линейные судьи: Торнике Кучава, Никита Новиков",Тренер: Горди Дуайер,Тренер: Николай Соловьёв,17.0,11.0,15.0,16.0,15.0,20.0,13,6,9,11,7,8,6,0,2,3,3,3,6,0,2,5,3,2,3,2,11.0,9.0,15.0,12.0,13.0,8.0,4,4,0,0,4,4,0,0,3,2,2,3,http://www.khl.ru/game/309/45953/protocol/
49,01.09.2015,Нефтехимик,Авангард,0:0 0:3 1:1,"Главные судьи: Денис Бондарь, Владимир Букин","Линейные судьи: Дмитрий Сивов, Иван Назаров",Тренер: Владимир Крикунов,Тренер: Евгений Корноухов,19.0,21.0,7.0,29.0,21.0,16.0,10,9,3,12,7,11,0.0,0.0,3,4,5,1,1,5,6,2,6,3,5,3,8.0,11.0,11.0,7.0,11.0,7.0,6,2,2,0,2,6,0,2,2,1,1,2,http://www.khl.ru/game/309/45948/protocol/
52,01.09.2015,Слован,Сибирь,0:0 2:2 0:1,"Главные судьи: Яков Деев, Денис Наумов","Линейные судьи: Александр Захаренков, Александр Садовников",Тренер: Милош Ржига,Тренер: Андрей Скабелка,20.0,14.0,25.0,12.0,15.0,17.0,10,8,15,8,8,10,0.0,0.0,5,8,3,4,1,4,1,2,4,1,3,0,13.0,3.0,10.0,9.0,2.0,10.0,0,2,0,0,2,0,0,0,2,2,2,2,http://www.khl.ru/game/309/45949/protocol/
53,01.09.2015,ЦСКА,Динамо Р,1:0 2:0 2:0,"Главные судьи: Антти Боман, Максим Сидоренко","Линейные судьи: Глеб Лазарев, Роман Шиханов",Тренер: Дмитрий Квартальнов,Тренер: Кари Хейккиля,20.0,14.0,27.0,12.0,26.0,8.0,13,9,19,6,13,2,0.0,0.0,3,4,4,3,3,6,9,6,6,5,5,3,4.0,11.0,11.0,10.0,11.0,8.0,5,2,1,0,2,5,0,1,4,0,0,4,http://www.khl.ru/game/309/45951/protocol/
51,01.09.2015,Динамо Мск,Адмирал,0:3 2:0 1:0 0:0 0:1,"Главные судьи: Роман Гофман, Сергей Гусев","Линейные судьи: Алексей Михель, Евгений Стрельцов",Тренер: Харийс Витолиньш,Тренер: Александр Андриевский,28.0,20.0,24.0,17.0,25.0,12.0,17,10,13,8,9,7,3,1,6,7,8,8,0,10,1,10,8,3,2,3,11.0,16.0,19.0,2.0,10.0,9.0,3,6,1,0,6,3,0,1,2,3,3,2,http://www.khl.ru/game/309/45950/protocol/
55,02.09.2015,Северсталь,Торпедо,2:1 0:2 1:0 0:0 1:0,"Главные судьи: Сергей Беляев, Роман Щенёв","Линейные судьи: Юрий Иванов, Александр Нестеров",Тренер: Вацлав Сикора,Тренер: Петерис Скудра,20.0,15.0,11.0,17.0,10.0,15.0,11,9,3,11,7,10,1,0,3,4,5,3,2,1,4,7,7,4,4,1,15.0,9.0,13.0,9.0,7.0,7.0,5,6,2,2,6,5,2,2,0,0,0,0,http://www.khl.ru/game/309/45954/protocol/
56,02.09.2015,Йокерит,Динамо Мн,0:0 0:0 0:1,"Главные судьи: Вячеслав Буланов, Юрий Оскирко","Линейные судьи: Степан Коршак, Александр Чернышёв",Тренер: Эркка Вестерлунд,Тренер: Любомир Покович,18.0,19.0,21.0,11.0,26.0,20.0,10,8,13,9,16,9,0.0,0.0,1,3,0,2,1,2,4,3,4,1,2,4,5.0,10.0,11.0,9.0,11.0,6.0,3,4,0,0,4,3,0,0,1,0,0,1,http://www.khl.ru/game/309/45955/protocol/
50,01.09.2015,Витязь,Амур,0:0 2:1 0:0,"Главные судьи: Антонин Йерабек, Владислав Киселёв","Линейные судьи: Дмитрий Парфёнов, Александр Сысуев",Тренер: Олег Ореховский,Тренер: Сергей Шепелев,12.0,22.0,14.0,21.0,5.0,28.0,7,10,9,5,2,11,0.0,0.0,5,4,10,3,7,5,2,0,3,0,0,1,8.0,7.0,7.0,9.0,12.0,7.0,3,6,1,0,6,3,0,1,1,1,1,1,http://www.khl.ru/game/309/45952/protocol/
41,30.08.2015,Медвешчак,Сибирь,2:0 1:2 1:0,"Главные судьи: Владимир Букин, Андрей Рогачёв","Линейные судьи: Торнике Кучава, Никита Новиков",Тренер: Горди Дуайер,Тренер: Андрей Скабелка,16.0,24.0,19.0,22.0,15.0,9.0,10,18,9,14,10,6,0.0,0.0,1,2,3,4,0,2,8,3,6,3,6,3,17.0,4.0,12.0,9.0,7.0,7.0,4,3,1,0,3,4,0,1,4,1,1,4,http://www.khl.ru/game/309/45940/protocol/
44,31.08.2015,Спартак,Торпедо,1:0 1:4 0:1,"Главные судьи: Алексей Анисимов, Антонин Йерабек","Линейные судьи: Дмитрий Головлёв, Андрей Матюша",Тренер: Герман Титов,Тренер: Петерис Скудра,19.0,14.0,13.0,20.0,16.0,3.0,12,9,6,10,9,2,0.0,0.0,2,2,6,4,0,3,11,9,9,5,8,7,8.0,6.0,18.0,6.0,5.0,8.0,5,4,1,0,4,5,0,1,4,1,1,4,http://www.khl.ru/game/309/45943/protocol/
42,31.08.2015,Лада,Ак Барс,0:2 0:2 1:0,"Главные судьи: Михаил Бутурлин, Павел Овчинников","Линейные судьи: Евгений Стрельцов, Дмитрий Шишло",Тренер: Сергей Светлов,Тренер: Зинэтула Билялетдинов,15.0,28.0,20.0,19.0,26.0,9.0,9,15,13,10,13,4,0.0,0.0,6,1,5,1,1,3,13,15,9,9,5,9,11.0,15.0,7.0,17.0,12.0,8.0,4,6,1,0,6,4,0,1,3,1,1,3,http://www.khl.ru/game/309/45941/protocol/
47,01.09.2015,Салават Юлаев,Автомобилист,1:2 1:1 2:2,"Главные судьи: Эдуард Одиньш, Александр Сергеев","Линейные судьи: Сергей Мисюрь, Яков Палей",Тренер: Анатолий Емелин,Тренер: Андрей Разин,13.0,18.0,15.0,12.0,23.0,11.0,7,9,8,3,13,8,0.0,0.0,4,5,0,5,1,7,5,10,9,12,5,2,13.0,9.0,9.0,7.0,20.0,5.0,2,3,2,0,3,2,0,2,3,4,4,3,http://www.khl.ru/game/309/45947/protocol/
48,01.09.2015,Трактор,Барыс,1:0 1:0 0:1,"Главные судьи: Виктор Гашилов, Алексей Белов","Линейные судьи: Александр Отмахов, Станислав Раминг",Тренер: Андрей Николишин,Тренер: Ерлан Сагымбаев,27.0,13.0,16.0,12.0,23.0,13.0,14,5,11,9,10,8,0.0,0.0,4,3,2,2,4,6,2,5,7,2,4,4,8.0,8.0,8.0,12.0,12.0,7.0,2,3,1,0,3,2,0,1,2,0,0,2,http://www.khl.ru/game/309/45945/protocol/
46,01.09.2015,Металлург Мг,Югра,1:0 2:1 3:1,"Главные судьи: Эдуард Ибатулин, Рафаэль Кадыров","Линейные судьи: Максим Берсенёв, Евгений Юдин",Тренер: Майк Кинэн,Тренер: Павел Езовских,18.0,17.0,26.0,7.0,25.0,15.0,11,11,13,6,18,11,0.0,0.0,5,2,3,5,2,3,13,8,6,14,11,5,19.0,6.0,9.0,10.0,17.0,8.0,5,4,1,0,4,5,0,1,5,2,2,5,http://www.khl.ru/game/309/45946/protocol/
43,31.08.2015,Северсталь,СКА,0:1 0:0 0:2,"Главные судьи: Вячеслав Буланов, Константин Оленин","Линейные судьи: Дмитрий Голяк, Иван Дедюля",Тренер: Вацлав Сикора,Тренер: Андрей Назаров,8.0,21.0,16.0,20.0,15.0,21.0,4,9,5,12,9,10,0.0,0.0,8,2,4,4,0,1,5,6,2,2,8,5,11.0,9.0,11.0,8.0,8.0,11.0,5,3,1,0,3,5,0,1,2,0,0,2,http://www.khl.ru/game/309/45942/protocol/
45,31.08.2015,ХК Сочи,Локомотив,1:1 0:0 1:0,"Главные судьи: Алексей Раводин, Юрий Цыплаков","Линейные судьи: Александр Нестеров, Иван Сазонов",Тренер: Вячеслав Буцаев,Тренер: Алексей Кудашов,18.0,10.0,18.0,13.0,16.0,22.0,13,6,4,6,10,13,0.0,0.0,2,0,3,6,5,2,5,4,3,4,6,3,11.0,10.0,8.0,7.0,14.0,13.0,4,6,1,1,6,4,1,1,1,0,0,1,http://www.khl.ru/game/309/45944/protocol/
34,30.08.2015,Салават Юлаев,Югра,3:0 1:2 0:0,"Главные судьи: Алексей Васильев, Сергей Гусев","Линейные судьи: Пётр Алёшин, Юрий Иванов",Тренер: Анатолий Емелин,Тренер: Павел Езовских,20.0,9.0,19.0,15.0,10.0,22.0,12,5,9,9,6,12,0.0,0.0,4,5,3,5,3,3,4,8,3,6,3,8,11.0,11.0,13.0,8.0,8.0,10.0,5,5,1,0,5,5,0,1,3,1,1,3,http://www.khl.ru/game/309/45934/protocol/
39,30.08.2015,Динамо Мск,Амур,3:0 4:1 0:1,"Главные судьи: Алексей Белов, Павел Комаров","Линейные судьи: Дмитрий Головлёв, Андрей Матюша",Тренер: Харийс Витолиньш,Тренер: Сергей Шепелев,22.0,8.0,23.0,13.0,9.0,14.0,12,6,11,9,6,5,0.0,0.0,2,6,1,8,8,2,2,6,1,2,2,0,5.0,9.0,14.0,6.0,7.0,5.0,3,6,1,0,6,3,0,1,7,1,1,7,http://www.khl.ru/game/309/45939/protocol/
36,30.08.2015,Нефтехимик,Барыс,0:0 3:0 2:2,"Главные судьи: Артур Кулёв, Александр Соин","Линейные судьи: Антон Понамаренко, Алексей Михель",Тренер: Владимир Крикунов,Тренер: Ерлан Сагымбаев,24.0,21.0,28.0,17.0,24.0,25.0,8,10,13,11,12,17,0.0,0.0,6,2,2,6,3,5,10,5,5,10,7,3,10.0,12.0,16.0,8.0,17.0,8.0,6,6,3,1,6,6,1,3,2,1,1,2,http://www.khl.ru/game/309/45935/protocol/
40,30.08.2015,Слован,Металлург Нк,3:0 1:0 2:0,"Главные судьи: Владислав Киселёв, Яков Деев","Линейные судьи: Александр Захаренков, Александр Садовников",Тренер: Милош Ржига,Тренер: Николай Соловьёв,21.0,10.0,20.0,13.0,16.0,11.0,16,4,13,7,12,6,0.0,0.0,5,4,4,4,5,1,3,2,0,0,1,1,9.0,9.0,7.0,9.0,11.0,11.0,5,6,1,0,6,5,0,1,5,0,0,5,http://www.khl.ru/game/309/45938/protocol/
37,30.08.2015,Витязь,Адмирал,2:1 0:2 2:1 1:0,"Главные судьи: Виктор Гашилов, Антон Лаврентьев","Линейные судьи: Иван Назаров, Никита Шалагин",Тренер: Олег Ореховский,Тренер: Александр Андриевский,22.0,24.0,23.0,24.0,25.0,18.0,16,15,13,12,12,15,1,0,2,6,6,5,1,3,4,1,4,2,0,1,12.0,8.0,11.0,10.0,10.0,11.0,3,2,1,0,2,3,0,1,3,4,4,3,http://www.khl.ru/game/309/45936/protocol/
38,30.08.2015,Динамо Мн,Динамо Р,0:0 0:2 0:2,"Главные судьи: Денис Бондарь, Евгений Гамалей","Линейные судьи: Дмитрий Сивов, Сергей Шелянин",Тренер: Любомир Покович,Тренер: Кари Хейккиля,19.0,25.0,19.0,16.0,25.0,13.0,9,11,11,8,12,5,0.0,0.0,5,2,3,0,2,2,1,2,9,4,5,2,9.0,10.0,15.0,6.0,10.0,5.0,3,3,0,0,3,3,0,0,4,0,0,4,http://www.khl.ru/game/309/45937/protocol/
33,30.08.2015,Металлург Мг,Автомобилист,0:2 1:0 0:0,"Главные судьи: Ильдар Сафиуллов, Роман Щенёв","Линейные судьи: Алексей Майтак, Евгений Пронских",Тренер: Майк Кинэн,Тренер: Андрей Разин,11.0,13.0,15.0,12.0,16.0,8.0,7,5,8,5,8,4,0.0,0.0,4,5,2,5,4,4,12,8,6,7,8,1,6.0,9.0,10.0,11.0,9.0,7.0,5,3,0,0,3,5,0,0,1,1,1,1,http://www.khl.ru/game/309/45933/protocol/
35,30.08.2015,Трактор,Авангард,1:2 0:0 0:0,"Главные судьи: Эдуард Одиньш, Александр Сергеев","Линейные судьи: Виктор Томилов, Константин Горденко",Тренер: Андрей Николишин,Тренер: Евгений Корноухов,18.0,15.0,14.0,19.0,8.0,18.0,11,12,9,12,4,11,0.0,0.0,2,5,4,2,6,5,5,2,2,4,5,6,13.0,8.0,7.0,11.0,6.0,12.0,3,3,1,0,3,3,0,1,1,1,1,1,http://www.khl.ru/game/309/45932/protocol/
10,26.08.2015,Нефтехимик,Югра,1:0 0:0 1:1,"Главные судьи: Виктор Гашилов, Павел Овчинников","Линейные судьи: Торнике Кучава, Евгений П. Литвинов",Тренер: Владимир Крикунов,Тренер: Павел Езовских,20.0,19.0,24.0,15.0,13.0,17.0,14,11,18,11,6,11,0.0,0.0,5,5,2,4,3,5,8,10,6,7,6,3,13.0,7.0,12.0,14.0,11.0,10.0,3,2,1,0,2,3,0,1,2,0,0,2,http://www.khl.ru/game/309/45909/protocol/
15,27.08.2015,Авангард,Металлург Мг,0:2 2:0 1:1 0:0 0:1,"Главные судьи: Денис Наумов, Александр Соин","Линейные судьи: Эдуард Метальников, Александр Сироткин",Тренер: Евгений Корноухов,Тренер: Майк Кинэн,14.0,11.0,13.0,20.0,6.0,14.0,12,5,9,10,4,7,1,3,2,2,8,2,3,0,8,9,7,8,8,4,6.0,6.0,9.0,9.0,9.0,11.0,4,2,2,0,2,4,0,2,3,1,1,3,http://www.khl.ru/game/309/45914/protocol/
11,26.08.2015,Витязь,Металлург Нк,0:1 1:0 0:0 0:0 1:0,"Главные судьи: Рафаэль Кадыров, Артур Кулёв","Линейные судьи: Никита Новиков, Дмитрий Шишло",Тренер: Олег Ореховский,Тренер: Николай Соловьёв,10.0,18.0,21.0,17.0,23.0,17.0,6,12,17,7,8,11,0,2,2,2,3,2,3,5,8,3,1,4,4,0,13.0,7.0,16.0,15.0,14.0,15.0,4,6,1,0,6,4,0,1,0,1,1,0,http://www.khl.ru/game/309/45910/protocol/
12,26.08.2015,Динамо Мск,Сибирь,1:1 2:1 0:1 1:0,"Главные судьи: Юрий Цыплаков, Эдуард Одиньш","Линейные судьи: Роман Шиханов, Никита Шалагин",Тренер: Харийс Витолиньш,Тренер: Андрей Скабелка,12.0,16.0,16.0,18.0,19.0,25.0,7,9,8,10,8,13,2,1,4,5,7,8,7,7,2,6,5,3,1,2,12.0,5.0,15.0,8.0,14.0,8.0,4,5,1,0,5,4,0,1,2,2,2,2,http://www.khl.ru/game/309/45912/protocol/
16,27.08.2015,Барыс,Салават Юлаев,1:1 2:1 2:1,"Главные судьи: Михаил Бутурлин, Алексей Раводин","Линейные судьи: Иван Назаров, Иван Сазонов",Тренер: Ерлан Сагымбаев,Тренер: Анатолий Емелин,20.0,13.0,15.0,16.0,12.0,14.0,9,10,7,7,10,7,0.0,0.0,1,3,4,2,4,1,7,6,3,2,6,1,11.0,10.0,11.0,8.0,8.0,12.0,6,6,1,1,6,6,1,1,3,2,2,3,http://www.khl.ru/game/309/45915/protocol/
13,26.08.2015,Слован,Адмирал,0:1 1:1 0:1,"Главные судьи: Вячеслав Буланов, Владимир Букин","Линейные судьи: Алексей Майтак, Евгений Пронских",Тренер: Милош Ржига,Тренер: Александр Андриевский,23.0,19.0,20.0,28.0,21.0,6.0,11,12,9,11,11,4,0.0,0.0,4,5,3,6,1,2,0,3,1,2,2,2,13.0,7.0,16.0,4.0,11.0,8.0,5,6,1,0,6,5,0,1,2,1,1,2,http://www.khl.ru/game/309/45911/protocol/
14,26.08.2015,Медвешчак,Амур,0:0 2:2 0:0 0:0 0:1,"Главные судьи: Владислав Киселёв, Константин Оленин","Линейные судьи: Константин Горденко, Виктор Томилов",Тренер: Горди Дуайер,Тренер: Сергей Шепелев,15.0,14.0,12.0,16.0,14.0,17.0,8,9,6,11,7,9,3,1,1,3,3,2,4,1,8,5,6,5,6,4,9.0,4.0,11.0,10.0,10.0,7.0,3,2,1,0,2,3,0,1,1,2,2,1,http://www.khl.ru/game/309/45913/protocol/
17,27.08.2015,Йокерит,Торпедо,1:0 1:1 3:0,"Главные судьи: Алексей Васильев, Алексей Белов","Линейные судьи: Сергей Шелянин, Дмитрий Сивов",Тренер: Эркка Вестерлунд,Тренер: Петерис Скудра,11.0,15.0,7.0,17.0,16.0,11.0,8,8,4,9,13,4,0.0,0.0,1,0,1,1,1,0,3,3,3,2,2,4,7.0,14.0,7.0,10.0,8.0,10.0,3,2,2,1,2,3,1,2,2,0,0,2,http://www.khl.ru/game/309/45916/protocol/
5,25.08.2015,Спартак,Динамо Мн,1:0 0:1 2:2 1:0,"Главные судьи: Рафаэль Кадыров, Эдуард Одиньш","Линейные судьи: Роман Шиханов, Никита Новиков",Тренер: Герман Титов,Тренер: Любомир Покович,17.0,15.0,12.0,23.0,26.0,16.0,8,10,3,12,16,11,2,0,0,0,2,7,2,2,14,14,9,8,1,1,4.0,9.0,9.0,12.0,11.0,19.0,4,2,0,0,2,4,0,0,3,3,3,3,http://www.khl.ru/game/309/45903/protocol/
3,25.08.2015,Барыс,Металлург Мг,1:0 0:0 0:2,"Главные судьи: Евгений Гамалей, Алексей Раводин","Линейные судьи: Иван Назаров, Иван Сазонов",Тренер: Ерлан Сагымбаев,Тренер: Майк Кинэн,21.0,20.0,8.0,31.0,9.0,21.0,13,13,5,20,4,8,0.0,0.0,3,2,2,2,3,5,4,5,4,8,2,3,10.0,9.0,8.0,8.0,9.0,12.0,2,2,0,0,2,2,0,0,2,0,0,2,http://www.khl.ru/game/309/45902/protocol/
2,25.08.2015,Авангард,Салават Юлаев,0:1 3:0 1:1,"Главные судьи: Алексей Анисимов, Алексей Белов","Линейные судьи: Александр Захаренков, Александр Садовников",Тренер: Евгений Корноухов,Тренер: Анатолий Емелин,19.0,8.0,18.0,12.0,7.0,12.0,12,2,8,6,5,5,0.0,0.0,3,4,3,3,4,1,6,7,5,4,5,2,5.0,9.0,12.0,13.0,7.0,10.0,7,8,2,1,8,7,1,2,1,0,0,1,http://www.khl.ru/game/309/45901/protocol/
9,26.08.2015,Трактор,Автомобилист,0:0 0:0 1:1 0:0 1:0,"Главные судьи: Яков Деев, Андрей Рогачёв","Линейные судьи: Яков Палей, Антон Понамаренко",Тренер: Андрей Николишин,Тренер: Олег Леонтьев,24.0,8.0,22.0,21.0,18.0,15.0,11,6,12,11,6,11,2,0,3,4,6,3,3,7,10,7,2,1,2,2,11.0,11.0,13.0,9.0,11.0,6.0,5,5,1,0,5,5,0,1,1,0,0,1,http://www.khl.ru/game/309/45908/protocol/
6,25.08.2015,Торпедо,Локомотив,1:0 0:1 1:1 0:0 1:0,"Главные судьи: Сергей Гусев, Денис Наумов","Линейные судьи: Эдуард Метальников, Александр Сироткин",Тренер: Петерис Скудра,Тренер: Алексей Кудашов,9.0,24.0,16.0,21.0,13.0,16.0,6,12,7,14,6,9,4,0,4,1,4,4,3,4,11,9,13,14,11,4,10.0,14.0,10.0,12.0,16.0,7.0,4,5,1,0,5,4,0,1,1,2,2,1,http://www.khl.ru/game/309/45904/protocol/
4,25.08.2015,Йокерит,Северсталь,0:0 2:1 1:1,"Главные судьи: Алексей Васильев, Александр Соин","Линейные судьи: Сергей Шелянин, Дмитрий Сивов",Тренер: Эркка Вестерлунд,Тренер: Вацлав Сикора,22.0,17.0,16.0,23.0,18,14,8,8,9,13,6,17,0.0,0.0,3,3,1,0,4,2,5,3,4,3,1,3,15.0,10.0,8.0,12.0,11,13,5,5,1,1,5,5,1,1,2,1,1,2,http://www.khl.ru/game/309/45905/protocol/
7,25.08.2015,ХК Сочи,Лада,0:0 1:0 3:2,"Главные судьи: Павел Комаров, Сергей Кулаков","Линейные судьи: Алексей Михель, Евгений Стрельцов",Тренер: Вячеслав Буцаев,Тренер: Сергей Светлов,19.0,12.0,25.0,8.0,18.0,10.0,10,7,14,5,11,4,0.0,0.0,0,6,0,7,1,3,4,3,6,4,1,5,12.0,6.0,9.0,6.0,6.0,14.0,3,2,1,0,2,3,0,1,3,2,2,3,http://www.khl.ru/game/309/45906/protocol/
8,25.08.2015,Динамо Р,Ак Барс,0:0 1:1 2:0,"Главные судьи: Роман Гофман, Юрий Оскирко","Линейные судьи: Степан Коршак, Александр Чернышёв",Тренер: Кари Хейккиля,Тренер: Зинэтула Билялетдинов,18.0,13.0,9.0,26.0,13.0,19.0,11,6,4,15,6,10,0.0,0.0,4,6,5,2,4,2,5,7,2,2,4,1,6.0,6.0,11.0,8.0,5.0,17.0,6,1,0,0,1,6,0,0,2,1,1,2,http://www.khl.ru/game/309/45907/protocol/
1,24.08.2015,СКА,ЦСКА,0:0 2:2 1:1 0:1,"Главные судьи: Вячеслав Буланов, Константин Оленин","Линейные судьи: Дмитрий Сивов, Сергей Шелянин",Тренер: Андрей Назаров,Тренер: Дмитрий Квартальнов,12.0,22.0,9.0,30.0,15.0,13.0,11,10,6,14,9,5,0,2,6,1,6,1,6,2,7,5,7,6,13,5,11.0,8.0,8.0,11.0,9.0,12.0,5,3,2,1,3,5,1,2,1,1,1,1,http://www.khl.ru/game/309/45900/protocol/
